Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 10:26:52,Navis Pack & Ship,16191,Navis - Phoenix,LIVE,http://navisphoenix.com,480-359-3658,480-359-3658,480-582-0589,480-582-0589,4803593658,False,4805820589,PPC Not Found,2,https://www.navisphoenix.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:27:14,Navis Pack & Ship,37808,Navis - Novi MI,LIVE,http://navis-novi.com,248-331-9976,248-331-9976,248-331-9953,248-331-9953,2483319976,False,2483319953,PPC Not Found,2,https://www.navis-novi.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:27:36,Navis Pack & Ship,43649,Navis Pack & Ship - Joliet IL,LIVE,http://navis-chicagometro.com,779-379-1365,779-379-1365,779-227-1406,779-227-1406,7793791365,False,7792271406,PPC Not Found,0,http://www.navis-chicagometro.com/,301,200,205.178.153.7,ns43.domaincontrol.com.,yes,yes,yes,yes,PPC Not Found,yes,no,no
2018-10-24 10:27:56,Navis Pack & Ship,272619,Navis Grand Rapids MI,LIVE,http://navis-grandrapids.com,616-258-2451,616-258-2451,616-422-7637,616-422-7637,6162582451,False,6164227637,PPC Not Found,2,https://www.navis-grandrapids.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
