Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 10:04:33,Bark Busters,21830,Bark Busters - Collegeville PA,LIVE,http://barkbusterscollegeville.com,484-297-9458,484-297-9458,610-228-4283,610-228-4283,4842979458,False,6102284283,PPC Not Found,2,https://www.barkbusterscollegeville.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:04:53,Bark Busters,128407,Bark Busters Sugar Land-Katy-Waller,LIVE,http://barkbusters-sugarland-katy.com,281-407-6686,281-407-6686,281-407-9276,281-407-9276,2814076686,False,2814079276,PPC Not Found,2,https://www.barkbusters-sugarland-katy.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:05:15,Bark Busters,128410,Bark Busters Houston South,LIVE,http://barkbusters-houstonsouth.com,281-810-9434,281-810-9434,281-810-9322,281-810-9322,2818109434,False,2818109322,PPC Not Found,2,https://www.barkbusters-houstonsouth.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:05:35,Bark Busters,128411,Bark Busters Montgomery County,LIVE,http://barkbusters-montgomeryco.com,936-681-9351,936-681-9351,936-681-0847,936-681-0847,9366819351,False,9366810847,PPC Not Found,2,https://www.barkbusters-montgomeryco.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:05:56,Bark Busters,137853,Bark Busters Home Dog Training of Issaquah,LIVE,http://barkbusters-eastside.com,425-358-4162,425-358-4162,425-654-2979,425-654-2979,4253584162,False,4256542979,PPC Not Found,2,https://www.barkbusters-eastside.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:06:20,Bark Busters,278657,Bark Busters of Albuquerque,LIVE,http://barkbustersalbuquerque.com,505-346-3120,505-346-3120,505-399-2077,505-399-2077,5053463120,False,5053992077,PPC Not Found,2,https://www.barkbustersalbuquerque.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
