Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 10:42:36,Ideal Image,33863,Ideal Image - Lakeland,LIVE,http://idealimage-lakeland.com,863-225-9315,863-225-9315,863-703-0916,863-703-0916,8632259315,False,8637030916,PPC Not Found,2,https://www.idealimage-lakeland.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:42:57,Ideal Image,34060,Ideal Image - Melbourne,LIVE,http://idealimage-melbourne.com,321-765-5127,321-765-5127,888-693-9863,888-693-9863,3217655127,False,8886939863,PPC Not Found,2,https://www.idealimage-melbourne.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:44:17,Ideal Image,363819,Ideal Image - Orlando,LIVE,http://idealimageoforlando.com,407-917-5347,407-917-5347,407-961-6942,407-961-6942,4079175347,False,4079616942,PPC Not Found,0,http://www.idealimageoforlando.com/,301,200,205.178.153.7,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,no,yes
