Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 05:52:26,Pro Oil Change,248187,Pro Oil Change of Mississauga,LIVE,http://prooilofmississauga.ca,905-581-4201,905-581-4201,905-581-4201,905-581-4201,9055814201,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofmississauga.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:52:49,Pro Oil Change,248189,Pro Oil Change of Georgetown,LIVE,http://prooilofgeorgetown.ca,905-581-4222,905-581-4222,905-581-4222,905-581-4222,9055814222,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofgeorgetown.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:53:25,Pro Oil Change,248195,Pro Oil Change of Burlington,LIVE,http://prooilofburlington.ca,289-812-0193,289-812-0193,289-812-0193,289-812-0193,2898120193,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofburlington.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:53:49,Pro Oil Change,248199,Pro Oil Change of Milton,LIVE,http://prooilofmilton.ca,289-270-0328,289-270-0328,289-270-0328,289-270-0328,2892700328,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofmilton.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:54:12,Pro Oil Change,248201,Pro Oil Change of Sarnia,LIVE,http://prooilofsarnia.ca,226-778-0584,226-778-0584,226-778-0584,226-778-0584,2267780584,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofsarnia.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:54:34,Pro Oil Change,248203,Pro Oil Change of St. Thomas,LIVE,http://prooilofstthomas.ca,226-212-0402,226-212-0402,226-212-0402,226-212-0402,2262120402,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofstthomas.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:54:57,Pro Oil Change,248204,Pro Oil Change of Midland,LIVE,http://prooilofmidland.ca,705-302-3046,705-302-3046,705-302-3046,705-302-3046,7053023046,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofmidland.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:55:19,Pro Oil Change,248205,Pro Oil Change of Bracebridge,LIVE,http://prooilofbracebridge.ca,705-640-0171,705-640-0171,705-640-0171,705-640-0171,7056400171,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofbracebridge.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:55:43,Pro Oil Change,248206,Pro Oil Change of Kanata,LIVE,http://prooilofkanata.ca,613-519-0549,613-519-0549,613-519-0549,613-519-0549,6135190549,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofkanata.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:56:05,Pro Oil Change,248207,Pro Oil Change of South London,LIVE,http://prooiloflondon.ca,519-690-1859,519-690-1859,519-690-1859,519-690-1859,No DB Unpaid Number,No DB Paid Number,PPC Not Found,2,https://www.prooiloflondon.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,no,no,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:56:33,Pro Oil Change,248208,Pro Oil Change of Orangeville,LIVE,http://prooiloforangeville.ca,226-778-1847,226-778-1847,226-778-1847,226-778-1847,2267781847,False,No DB Paid Number,PPC Not Found,2,https://www.prooiloforangeville.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:56:55,Pro Oil Change,248211,Pro Oil Change of Strathroy,LIVE,http://prooilofstrathroy.ca,226-828-1511,226-828-1511,226-828-1511,226-828-1511,2268281511,False,No DB Paid Number,PPC Not Found,2,https://www.prooilofstrathroy.ca/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 05:57:16,Pro Oil Change,248213,Pro Oil Change of North London,LIVE,http://prooilofnorthlondon.ca,226-270-7730,226-270-7730,226-270-1168,226-270-1168,2262707730,False,2262701168,PPC Not Found,2,https://www.prooilofnorthlondon.ca/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
