Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 10:21:06,Above Grade Level Corporate,255393,Above Grade Level Union County,LIVE,http://unioncountytutor.com,908-628-0051,908-628-0051,908-340-6811,908-340-6811,9086280051,False,9083406811,PPC Not Found,0,http://www.unioncountytutor.com/,301,200,205.178.153.6,ns23.domaincontrol.com.,yes,yes,yes,yes,PPC Not Found,yes,no,no
2018-10-24 10:21:26,Above Grade Level Corporate,261280,Above Grade Level Grovetown,LIVE,http://abovegradelevelgrovetown.com,762-222-1909,762-222-1909,706-250-2958,706-250-2958,7622221909,False,7062502958,PPC Not Found,2,https://www.abovegradelevelgrovetown.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:21:48,Above Grade Level Corporate,296238,Above Grade Level Rochester MI,LIVE,http://abovegradeleveloc.com,248-266-2271,248-266-2271,248-266-2271,248-266-2271,2482662271,False,No DB Paid Number,PPC Not Found,2,https://www.abovegradeleveloc.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 10:22:10,Above Grade Level Corporate,314934,Above Grade Level North West Houston,LIVE,http://abovegradelevel-nwhouston.com,281-709-4707,281-709-4707,281-402-3001,281-402-3001,2817094707,False,2814023001,PPC Not Found,2,https://www.abovegradelevel-nwhouston.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 10:22:35,Above Grade Level Corporate,322051,Above Grade Level Lehigh Valley,LIVE,http://abovegradelevel-lehighvalley.com,484-546-4078,484-546-4078,484-373-4153,484-373-4153,4845464078,False,4843734153,PPC Not Found,2,https://www.abovegradelevel-lehighvalley.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
