Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 11:21:09,Nerds, We Can Fix That!,269625,Nerds,LIVE,http://friscocomputerrepair.org,940-293-2979,940-293-2979,940-293-2979,940-293-2979,9402932979,False,No DB Paid Number,PPC Not Found,2,https://www.friscocomputerrepair.org/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
2018-10-24 11:21:30,Nerds, We Can Fix That!,269627,Nerds ,LIVE,http://irvingcomputerrepair.org,817-374-4171,817-374-4171,817-374-4171,817-374-4171,8173744171,False,No DB Paid Number,PPC Not Found,2,https://www.irvingcomputerrepair.org/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,no,no,PPC Not Found,yes,yes,yes
