Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 09:12:35,Grekin Skin Institute,193998,Grekin Skin Institute - Warren MI,LIVE,http://advanceddermatologycenterwarren.com,586-207-7782,586-207-7782,586-232-5698,586-232-5698,5862077782,False,5862325698,PPC Not Found,2,https://www.advanceddermatologycenterwarren.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:12:59,Grekin Skin Institute,214394,Grekin Skin Institute - Wyandotte MI,LIVE,http://wyandottedermatology.com,888-825-9165,888-825-9165,888-354-5882,888-354-5882,8888259165,False,8883545882,PPC Not Found,2,https://www.wyandottedermatology.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:13:23,Grekin Skin Institute,214398,Grekin Skin Institute - Southfield MI,LIVE,http://southfielddermatology.com,888-685-4482,888-685-4482,888-546-0177,888-546-0177,8886854482,False,8885460177,PPC Not Found,2,https://www.southfielddermatology.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:13:46,Grekin Skin Institute,236397,Grekin Skin Institute - Shelby Township MI,LIVE,http://shelbytownshipdermatology.com,586-782-4700,586-782-4700,586-393-7301,586-393-7301,5867824700,False,5863937301,PPC Not Found,2,https://www.shelbytownshipdermatology.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:14:07,Grekin Skin Institute,236400,Skin Perfection of Southfield,LIVE,http://dermatologysouthfield.com,248-469-0556,248-469-0556,248-327-4117,248-327-4117,2484690556,False,2483274117,PPC Not Found,2,https://www.dermatologysouthfield.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:14:29,Grekin Skin Institute,257459,Grekin Skin Institute - Livonia MI,LIVE,http://advanceddermatologylivonia.com,734-666-5988,734-666-5988,734-237-7602,734-237-7602,7346665988,False,7342377602,PPC Not Found,2,https://www.advanceddermatologylivonia.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:14:51,Grekin Skin Institute,294514,Grekin Skin Institute - Lansing MI,LIVE,http://midmichdermatology.com,517-481-3707,517-481-3707,517-325-9281,517-325-9281,5174813707,False,5173259281,PPC Not Found,2,https://www.midmichdermatology.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:15:12,Grekin Skin Institute,321940,Bay Area Dermatology - Traverse City MI,LIVE,http://traversecitydermatology.com,231-994-4429,231-994-4429,231-821-3315,231-821-3315,2319944429,False,2318213315,PPC Not Found,2,https://www.traversecitydermatology.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:15:34,Grekin Skin Institute,322039,Dermatology Associates of Northern Michigan,LIVE,http://petoskeydermatology.com,231-237-4146,231-237-4146,231-373-5784,231-373-5784,2312374146,False,2313735784,PPC Not Found,2,https://www.petoskeydermatology.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:15:55,Grekin Skin Institute,344889,Advanced Dermatology and Cosmetic Surgery-Pittsburgh,LIVE,http://pittsburghpadermatology.com,412-407-6636,412-407-6636,412-407-4813,412-407-4813,4124076636,False,4124074813,PPC Not Found,2,https://www.pittsburghpadermatology.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
