Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 02:14:47,Miracle Method Surface Refinishing,234864,Miracle Method of Alameda/Contra Costa,LIVE,http://miraclemethod.com/alameda-contra-costa,888-475-1393,888-475-1393,888-475-1393,888-475-1393,9252700717,False,No DB Paid Number,PPC Not Found,0,https://www.miraclemethod.com/alameda-contra-costa,301,200,104.25.247.36,olga.ns.cloudflare.com.,no,no,no,no,PPC Not Found,yes,yes,no
2018-10-24 02:15:09,Miracle Method Surface Refinishing,234867,Miracle Method of Atlanta North West,LIVE,http://miraclemethod.com/atlanta-nw,888-545-6516,888-545-6516,678-322-7301,678-322-7301,6782732739,False,6783227301,PPC Not Found,0,https://www.miraclemethod.com/atlanta-nw,301,200,104.25.247.36,olga.ns.cloudflare.com.,no,no,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 02:15:29,Miracle Method Surface Refinishing,234869,Miracle Method of Atlanta South,LIVE,http://miraclemethod.com/atlanta-south,678-228-8783,678-228-8783,678-271-8510,678-271-8510,8883430681,False,6782718510,PPC Not Found,0,https://www.miraclemethod.com/atlanta-south,301,200,104.25.248.36,olga.ns.cloudflare.com.,no,no,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 02:15:49,Miracle Method Surface Refinishing,234877,Miracle Method of the Golden Triangle,LIVE,http://miraclemethod.com/golden-triangle,888-492-1693,888-492-1693,888-401-9896,888-401-9896,4092337825,False,8884019896,PPC Not Found,0,https://www.miraclemethod.com/golden-triangle,301,200,104.25.248.36,olga.ns.cloudflare.com.,no,no,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 02:16:09,Miracle Method Surface Refinishing,234880,Miracle Method of Big Horns,LIVE,http://miraclemethod.com/big-horns,307-254-9103,307-254-9103,307-254-9103,307-254-9103,3072549103,False,No DB Paid Number,PPC Not Found,0,https://www.miraclemethod.com/big-horns,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,PPC Not Found,yes,yes,no
2018-10-24 02:16:28,Miracle Method Surface Refinishing,234882,Miracle Method of Boise,LIVE,http://miraclemethod.com/boise,208-405-0058,208-405-0058,208-405-0067,208-405-0067,2084050058,False,2084050067,PPC Not Found,0,https://www.miraclemethod.com/boise,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 02:16:48,Miracle Method Surface Refinishing,234888,Miracle Method of Boston Metro West,LIVE,http://miraclemethod.com/boston-metro-west,888-490-1662,888-490-1662,888-490-1662,888-490-1662,8884901662,False,No DB Paid Number,PPC Not Found,0,https://www.miraclemethod.com/boston-metro-west,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,PPC Not Found,yes,yes,no
2018-10-24 02:17:07,Miracle Method Surface Refinishing,234891,Miracle Method of Boston South Shore,LIVE,http://miraclemethod.com/boston-south-shore,781-561-2691,781-561-2691,781-561-2691,781-561-2691,7815612691,False,No DB Paid Number,PPC Not Found,0,https://www.miraclemethod.com/boston-south-shore,301,200,104.25.248.36,olga.ns.cloudflare.com.,yes,yes,no,no,PPC Not Found,yes,yes,no
2018-10-24 02:17:27,Miracle Method Surface Refinishing,234892,Miracle Method of Boulder,LIVE,http://miraclemethod.com/boulder,303-731-5915,303-731-5915,720-204-3833,720-204-3833,3037315915,False,7202043833,PPC Not Found,0,https://www.miraclemethod.com/boulder,301,200,104.25.247.36,olga.ns.cloudflare.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 02:17:48,Miracle Method Surface Refinishing,234894,Miracle Method of Brampton,LIVE,http://miraclemethod.com/brampton,289-201-2349,289-201-2349,289-201-2349,289-201-2349,8887386702,False,No DB Paid Number,PPC Not Found,0,https://www.miraclemethod.com/brampton,301,200,104.25.247.36,olga.ns.cloudflare.com.,no,no,no,no,PPC Not Found,yes,yes,no
