Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 00:27:35,ProSource,306385,ProSource of Bloomington (16181547),LIVE,http://prosourceofbloomington.com,812-269-1167,812-269-1167,812-269-1167,812-269-1167,9526417565,False,9523141669,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/mn-prosource-of-bloomington,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:28:04,ProSource,306386,ProSource of Plymouth (15976321),LIVE,http://prosourceofplymouth.com,763-220-4329,763-220-4329,763-220-4329,763-220-4329,7635150201,False,7632501482,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/mn-prosource-of-plymouth,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:28:29,ProSource,306387,ProSource of St. Paul (16181206),LIVE,http://prosourceofst-paul.com,651-237-5793,651-237-5793,651-317-3215,651-317-3215,6512375793,False,6513173215,PPC Not Found,2,https://www.prosourceofst-paul.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 00:28:51,ProSource,306388,ProSource of Clear Lake (16074570),LIVE,http://prosourceofclearlake.com,281-310-0566,281-310-0566,281-310-0566,281-310-0566,2814077408,False,2815576272,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-clear-lake,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:29:18,ProSource,306389,ProSource of Northwest Houston (16115801),LIVE,http://prosourceofnorthwesthouston.com,281-849-3248,281-849-3248,281-849-3248,281-849-3248,7134892389,False,7133640865,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-northwest-houston,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:29:44,ProSource,306390,ProSource of Sugar Land (16181432),LIVE,http://prosourceofsugarland.com,281-310-0550,281-310-0550,281-310-0550,281-310-0550,2818498889,False,2812011469,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-sugarland,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:30:08,ProSource,306391,ProSource of The Woodlands (16116086),LIVE,http://prosourceofthewoodlands.com,281-310-0546,281-310-0546,281-310-0546,281-310-0546,2814078506,False,2815284855,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-the-woodlands,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:30:34,ProSource,306392,ProSource of Katy (16074647),LIVE,http://prosourceofkaty.com,281-786-0120,281-786-0120,281-786-0120,281-786-0120,7135683275,False,7135683093,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/tx-prosource-of-katy,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:30:58,ProSource,306393,ProSource of Akron (15977002),LIVE,http://prosourceofakron.com,330-238-3575,330-238-3575,330-238-3575,330-238-3575,3305527684,False,3304749926,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/oh-prosource-of-akron,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:31:22,ProSource,306394,ProSource of Canton (15907974),LIVE,http://prosourceofcanton.com,330-238-3868,330-238-3868,330-238-3868,330-238-3868,3309741507,False,3306237623,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/oh-prosource-of-canton,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:31:47,ProSource,306395,ProSource of Albany (16076921),LIVE,http://prosourcealbany.com,518-219-8343,518-219-8343,518-219-8343,518-219-8343,5186501145,False,5184172602,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/ny-prosource-of-albany,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-24 00:32:13,ProSource,306396,ProSource of Buffalo (16077004),LIVE,http://prosourceofbuffalo.com,716-219-1543,716-219-1543,716-219-1543,716-219-1543,7163910901,False,7163910550,PPC Not Found,2,https://www.prosourcewholesale.com/showrooms/ny-prosource-of-buffalo,301,200,40.85.247.131,pdns09.domaincontrol.com.,no,no,no,no,PPC Not Found,no,yes,no
